name,slug,regular_price,sku,stock_status,categories,tags,images,short_description,description,attribute:Materials,attribute:Voltage,attribute:Plug,attribute:Bulb Type,attribute:Dimensions
"Opal Glass Wall Light","opal-glass-wall-light","149","WEH-WL-001","instock","Lighting > Wall Lights","Bedroom|Scandinavian Wood & Linen","https://warmearthhome.com/wp-content/uploads/sample/opal-wall-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/opal-wall-2.jpg","Soft ambient wall light with opal glass.","Warm glow wall light ideal for bedrooms and hallways.","Brass; Opal Glass","220-240V","AU Plug","E27","W200 x H300 x D120mm"
"Brass Dome Wall Lamp","brass-dome-wall-lamp","159","WEH-WL-002","instock","Lighting > Wall Lights","Entryway|Warm Brass & Opal Glass","https://warmearthhome.com/wp-content/uploads/sample/brass-wall-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/brass-wall-2.jpg","Elegant brass dome wall lamp.","Premium brass finish with opal diffuser for soft lighting.","Brass; Glass","220-240V","AU Plug","E27","W180 x H280 x D110mm"
"Linen Shade Wall Sconce","linen-shade-wall-sconce","139","WEH-WL-003","instock","Lighting > Wall Lights","Living Room|Scandinavian Wood & Linen","https://warmearthhome.com/wp-content/uploads/sample/linen-wall-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/linen-wall-2.jpg","Cozy linen shade wall sconce.","Natural linen and wood accent for warm interiors.","Oak Wood; Linen","220-240V","AU Plug","E14","W160 x H300 x D130mm"
"Opal Globe Pendant Light","opal-globe-pendant-light","189","WEH-PL-001","instock","Lighting > Pendant Lights","Dining / Kitchen|Warm Brass & Opal Glass","https://warmearthhome.com/wp-content/uploads/sample/opal-pendant-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/opal-pendant-2.jpg","Classic opal globe pendant.","Perfect for kitchen islands and dining tables.","Brass; Opal Glass","220-240V","AU Plug","E27","Ø250 x H280mm"
"Wood & Linen Pendant","wood-linen-pendant","199","WEH-PL-002","instock","Lighting > Pendant Lights","Dining / Kitchen|Scandinavian Wood & Linen","https://warmearthhome.com/wp-content/uploads/sample/wood-linen-pendant-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/wood-linen-pendant-2.jpg","Scandi wood & linen pendant.","Warm and natural texture for modern spaces.","Oak Wood; Linen","220-240V","AU Plug","E27","Ø300 x H320mm"
"Mini Brass Pendant","mini-brass-pendant","129","WEH-PL-003","instock","Lighting > Pendant Lights","Entryway|Warm Brass & Opal Glass","https://warmearthhome.com/wp-content/uploads/sample/mini-brass-pendant-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/mini-brass-pendant-2.jpg","Compact brass pendant.","Ideal for entryways and small nooks.","Brass","220-240V","AU Plug","G9","Ø160 x H200mm"
"Opal Glass Table Lamp","opal-glass-table-lamp","139","WEH-TL-001","instock","Lighting > Table Lamps","Bedroom|Warm Brass & Opal Glass","https://warmearthhome.com/wp-content/uploads/sample/opal-table-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/opal-table-2.jpg","Soft opal glass table lamp.","Creates calm mood lighting on bedside tables.","Brass; Opal Glass","220-240V","AU Plug","E14","Ø160 x H220mm"
"Linen Cylinder Table Lamp","linen-cylinder-table-lamp","129","WEH-TL-002","instock","Lighting > Table Lamps","Living Room|Scandinavian Wood & Linen","https://warmearthhome.com/wp-content/uploads/sample/linen-table-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/linen-table-2.jpg","Cylinder linen table lamp.","Neutral linen with wooden base for warm interiors.","Oak Wood; Linen","220-240V","AU Plug","E27","Ø180 x H300mm"
"Adjustable Brass Desk Lamp","adjustable-brass-desk-lamp","159","WEH-TL-003","instock","Lighting > Table Lamps","Dining / Kitchen|Warm Brass & Opal Glass","https://warmearthhome.com/wp-content/uploads/sample/brass-desk-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/brass-desk-2.jpg","Adjustable brass desk lamp.","Task lighting with adjustable arm for work areas.","Brass","220-240V","AU Plug","E27","W160 x H450 x D300mm"
"Opal Globe Floor Lamp","opal-globe-floor-lamp","229","WEH-FL-001","instock","Lighting > Floor Lamps","Living Room|Warm Brass & Opal Glass","https://warmearthhome.com/wp-content/uploads/sample/opal-floor-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/opal-floor-2.jpg","Opal globe floor lamp.","Statement floor lamp for modern living rooms.","Brass; Opal Glass","220-240V","AU Plug","E27","Ø250 x H1500mm"
"Linen Arc Floor Lamp","linen-arc-floor-lamp","249","WEH-FL-002","instock","Lighting > Floor Lamps","Bedroom|Scandinavian Wood & Linen","https://warmearthhome.com/wp-content/uploads/sample/linen-arc-floor-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/linen-arc-floor-2.jpg","Arc floor lamp with linen shade.","Soft overhead light for reading corners.","Steel; Linen","220-240V","AU Plug","E27","W1000 x H1700 x D300mm"
"Slim Brass Floor Lamp","slim-brass-floor-lamp","219","WEH-FL-003","instock","Lighting > Floor Lamps","Entryway|Warm Brass & Opal Glass","https://warmearthhome.com/wp-content/uploads/sample/slim-brass-floor-1.jpg|https://warmearthhome.com/wp-content/uploads/sample/slim-brass-floor-2.jpg","Slimline brass floor lamp.","Minimal footprint with cozy warm light.","Brass","220-240V","AU Plug","G9","Ø180 x H1500mm"
